id;tasa hurto;tasa desempleo;tasa robo
LIMA;0.3143;30.6;0.500364049
LAMBAYEQUE;0.0885;5.3;0.066466748
AREQUIPA;0.0518;3.4;0.062159861
PIURA;0.0591;2.8;0.066182913
LA LIBERTAD;0.058;4.9;0.061147927
JUNIN;0.0281;1.8;0.048807276
ANCASH;0.0415;2.5;0.031715474
ICA;0.045;2.4;0.020806338
CUSCO;0.0424;1.5;0.023484259
LORETO;0.0398;2.2;0.026483038
CALLAO;0.0349;5.2;0.0117483
AYACUCHO;0.0188;2.3;0.013611738
CAJAMARCA;0.0218;2.3;0.010316785
UCAYALI;0.0319;1.9;0.008835906
HUANUCO;0.0171;2.3;0.005972875
PUNO;0.0162;3.5;0.006108622
SAN MARTIN;0.0137;1.3;0.008391643
TACNA;0.0172;3.2;0.003899646
MADRE DE DIOS;0.0122;1.8;0.005257117
AMAZONAS;0.0101;1;0.004282206
MOQUEGUA;0.0106;4.4;0.004393272
APURIMAC;0.0107;2.3;0.003109844
TUMBES;0.0104;3.7;0.002258339
PASCO;0.0027;4.4;0.002048548
HUANCAVELICA;0.0032;3;0.002147273
;1;100;0.999999997
